2022-05-15 01:05:334 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-15 01:05:699 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-15 01:05:997 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-15 01:05:699 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-15 01:05:554 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-15 01:05:103 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-15 02:05:937 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-15 02:05:459 INFO  HomePage :51 - Clicking on Computer [[ChromeDriver: chrome on WINDOWS (59a13ffce49af9fb15827d6db1071e50)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]<br>
2022-05-15 02:05:522 INFO  ComputerPage :39 - getting computer text  [[ChromeDriver: chrome on WINDOWS (59a13ffce49af9fb15827d6db1071e50)] -> xpath: //h1[contains(text(),'Computers')]]
2022-05-15 02:05:679 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-15 02:05:778 INFO  HomePage :51 - Clicking on Computer [[ChromeDriver: chrome on WINDOWS (66163c21a57bf0b679b60a1e3ba582e9)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]<br>
2022-05-15 02:05:871 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-15 02:05:772 INFO  HomePage :51 - Clicking on Computer [[ChromeDriver: chrome on WINDOWS (3f8a747cb7ab59b7b9d8fb92f3cc0ebd)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]<br>
2022-05-15 13:05:467 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-15 13:05:927 INFO  HomePage :45 - Clicking on RegisterLink [[ChromeDriver: chrome on WINDOWS (6d0339d00af56443bc7ea32542c8d776)] -> link text: Register]<br>
2022-05-15 13:05:958 INFO  RegisterPage :183 - Clicking on Register [[ChromeDriver: chrome on WINDOWS (6d0339d00af56443bc7ea32542c8d776)] -> xpath: //button[contains(text(),'Register')]]
2022-05-15 13:05:84 INFO  RegisterPage :120 - getting Lastname  text  [[ChromeDriver: chrome on WINDOWS (6d0339d00af56443bc7ea32542c8d776)] -> xpath: //span[@id='LastName-error']]
2022-05-15 13:05:126 INFO  RegisterPage :126 - getting Email field text  [[ChromeDriver: chrome on WINDOWS (6d0339d00af56443bc7ea32542c8d776)] -> xpath: //span[@id='Email-error']]
2022-05-15 13:05:161 INFO  RegisterPage :132 - getting Password text  [[ChromeDriver: chrome on WINDOWS (6d0339d00af56443bc7ea32542c8d776)] -> xpath: //span[@id='Password-error']]
2022-05-15 13:05:194 INFO  RegisterPage :138 - getting reconfirmation of password text  [[ChromeDriver: chrome on WINDOWS (6d0339d00af56443bc7ea32542c8d776)] -> xpath: //span[@id='Password-error']]
2022-05-15 13:05:588 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-15 13:05:793 INFO  HomePage :45 - Clicking on RegisterLink [[ChromeDriver: chrome on WINDOWS (f5396ea8fd7f254dab6543bb2888ad1b)] -> link text: Register]<br>
2022-05-15 13:05:829 INFO  RegisterPage :107 - Enter emailsam to email field [[ChromeDriver: chrome on WINDOWS (f5396ea8fd7f254dab6543bb2888ad1b)] -> xpath: //input[@id='FirstName']]
2022-05-15 13:05:934 INFO  RegisterPage :144 - Enter lastname Patil to email field [[ChromeDriver: chrome on WINDOWS (f5396ea8fd7f254dab6543bb2888ad1b)] -> xpath: //input[@id='LastName']]
2022-05-15 13:05:92 INFO  RegisterPage :150 - Selecting date of birth 10 from dropdown [[ChromeDriver: chrome on WINDOWS (f5396ea8fd7f254dab6543bb2888ad1b)] -> xpath: //body/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[4]/div[1]/select[1]]
2022-05-15 13:05:229 INFO  RegisterPage :155 - Selecting month of birth 10 from dropdown [[ChromeDriver: chrome on WINDOWS (f5396ea8fd7f254dab6543bb2888ad1b)] -> xpath: //body/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[4]/div[1]/select[2]]
2022-05-15 13:05:582 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-15 13:05:436 INFO  HomePage :45 - Clicking on RegisterLink [[ChromeDriver: chrome on WINDOWS (c04ea744ce9aa4333d9d1e2233b6ca96)] -> link text: Register]<br>
2022-05-15 13:05:495 INFO  RegisterPage :107 - Enter emailsam to email field [[ChromeDriver: chrome on WINDOWS (c04ea744ce9aa4333d9d1e2233b6ca96)] -> xpath: //input[@id='FirstName']]
2022-05-15 13:05:671 INFO  RegisterPage :144 - Enter lastname Patil to email field [[ChromeDriver: chrome on WINDOWS (c04ea744ce9aa4333d9d1e2233b6ca96)] -> xpath: //input[@id='LastName']]
2022-05-15 13:05:802 INFO  RegisterPage :150 - Selecting date of birth 10 from dropdown [[ChromeDriver: chrome on WINDOWS (c04ea744ce9aa4333d9d1e2233b6ca96)] -> xpath: //body/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[4]/div[1]/select[1]]
2022-05-15 13:05:944 INFO  RegisterPage :155 - Selecting month of birth 10 from dropdown [[ChromeDriver: chrome on WINDOWS (c04ea744ce9aa4333d9d1e2233b6ca96)] -> xpath: //body/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[4]/div[1]/select[2]]
2022-05-15 13:05:860 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-15 13:05:725 INFO  HomePage :45 - Clicking on RegisterLink [[ChromeDriver: chrome on WINDOWS (7fcd1b3592948dd09472122d46d25e2d)] -> link text: Register]<br>
2022-05-15 13:05:789 INFO  RegisterPage :107 - Enter emailsam to email field [[ChromeDriver: chrome on WINDOWS (7fcd1b3592948dd09472122d46d25e2d)] -> xpath: //input[@id='FirstName']]
2022-05-15 13:05:940 INFO  RegisterPage :144 - Enter lastname Patil to email field [[ChromeDriver: chrome on WINDOWS (7fcd1b3592948dd09472122d46d25e2d)] -> xpath: //input[@id='LastName']]
2022-05-15 13:05:74 INFO  RegisterPage :150 - Selecting date of birth 10 from dropdown [[ChromeDriver: chrome on WINDOWS (7fcd1b3592948dd09472122d46d25e2d)] -> xpath: //body/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[4]/div[1]/select[1]]
2022-05-15 13:05:229 INFO  RegisterPage :155 - Selecting month of birth May from dropdown [[ChromeDriver: chrome on WINDOWS (7fcd1b3592948dd09472122d46d25e2d)] -> xpath: //body/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[4]/div[1]/select[2]]
2022-05-15 13:05:358 INFO  RegisterPage :161 - Selecting year of birth 2001 from dropdown [[ChromeDriver: chrome on WINDOWS (7fcd1b3592948dd09472122d46d25e2d)] -> xpath: //body/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[4]/div[1]/select[3]]
2022-05-15 13:05:475 INFO  RegisterPage :167 - Enter email sampatil@gmail.com to email field [[ChromeDriver: chrome on WINDOWS (7fcd1b3592948dd09472122d46d25e2d)] -> xpath: //input[@type='email' and @name='Email']]
2022-05-15 13:05:595 INFO  RegisterPage :173 - Enter password prime123@ to email field [[ChromeDriver: chrome on WINDOWS (7fcd1b3592948dd09472122d46d25e2d)] -> xpath: //input[@id='Password']]
2022-05-15 13:05:722 INFO  RegisterPage :178 - Enter confirm password prime123@ to email field [[ChromeDriver: chrome on WINDOWS (7fcd1b3592948dd09472122d46d25e2d)] -> xpath: //input[@name='ConfirmPassword']]
2022-05-15 13:05:838 INFO  RegisterPage :183 - Clicking on Register [[ChromeDriver: chrome on WINDOWS (7fcd1b3592948dd09472122d46d25e2d)] -> xpath: //button[contains(text(),'Register')]]
2022-05-15 13:05:661 INFO  RegisterPage :189 - getting registration completed text  [[ChromeDriver: chrome on WINDOWS (7fcd1b3592948dd09472122d46d25e2d)] -> xpath: //div[contains(text(),'Your registration completed')]]<br>
2022-05-15 13:05:381 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-15 13:05:49 INFO  HomePage :39 - Clicking on login [[ChromeDriver: chrome on WINDOWS (aa5255fc2b6efc10b531630e9cabbc4c)] -> link text: Log in]<br>
2022-05-15 13:05:75 INFO  LoginPage :64 - getting Welcome text from [[ChromeDriver: chrome on WINDOWS (aa5255fc2b6efc10b531630e9cabbc4c)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 13:05:969 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-15 13:05:648 INFO  HomePage :39 - Clicking on login [[ChromeDriver: chrome on WINDOWS (9c77de87adf1b7a1e849753c683285fd)] -> link text: Log in]<br>
2022-05-15 13:05:675 INFO  LoginPage :64 - getting Welcome text from [[ChromeDriver: chrome on WINDOWS (9c77de87adf1b7a1e849753c683285fd)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 13:05:807 INFO  LoginPage :43 - Enter email sampatil@gmail.com to email field [[ChromeDriver: chrome on WINDOWS (9c77de87adf1b7a1e849753c683285fd)] -> xpath: //input[@id='Email']]
2022-05-15 13:05:909 INFO  LoginPage :48 - Enter password : prime123@ to email field [[ChromeDriver: chrome on WINDOWS (9c77de87adf1b7a1e849753c683285fd)] -> xpath: //input[@id='Password']]
2022-05-15 13:05:620 INFO  LoginPage :53 - Clicking on login [[ChromeDriver: chrome on WINDOWS (9c77de87adf1b7a1e849753c683285fd)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-15 13:05:681 INFO  LoginPage :64 - getting Welcome text from Proxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Welcome, Please Sign In!')]'
2022-05-15 13:05:567 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-15 13:05:608 INFO  HomePage :39 - Clicking on login [[ChromeDriver: chrome on WINDOWS (d12bf1169c615cc786d5b82abf0d04ab)] -> link text: Log in]<br>
2022-05-15 13:05:643 INFO  LoginPage :64 - getting Welcome text from [[ChromeDriver: chrome on WINDOWS (d12bf1169c615cc786d5b82abf0d04ab)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 13:05:799 INFO  LoginPage :43 - Enter email sampatil@gmail.com to email field [[ChromeDriver: chrome on WINDOWS (d12bf1169c615cc786d5b82abf0d04ab)] -> xpath: //input[@id='Email']]
2022-05-15 13:05:921 INFO  LoginPage :48 - Enter password : prime123@ to email field [[ChromeDriver: chrome on WINDOWS (d12bf1169c615cc786d5b82abf0d04ab)] -> xpath: //input[@id='Password']]
2022-05-15 13:05:664 INFO  LoginPage :53 - Clicking on login [[ChromeDriver: chrome on WINDOWS (d12bf1169c615cc786d5b82abf0d04ab)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-15 13:05:696 INFO  HomePage :56 - getting Logout text [[ChromeDriver: chrome on WINDOWS (d12bf1169c615cc786d5b82abf0d04ab)] -> xpath: //a[contains(text(),'Log out')]]<br>
2022-05-15 13:05:553 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-15 13:05:368 INFO  HomePage :39 - Clicking on login [[ChromeDriver: chrome on WINDOWS (c8a16c5ba3bc5b9b06b0a75b9de828de)] -> link text: Log in]<br>
2022-05-15 13:05:399 INFO  LoginPage :64 - getting Welcome text from [[ChromeDriver: chrome on WINDOWS (c8a16c5ba3bc5b9b06b0a75b9de828de)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 13:05:540 INFO  LoginPage :43 - Enter email sampatil@gmail.com to email field [[ChromeDriver: chrome on WINDOWS (c8a16c5ba3bc5b9b06b0a75b9de828de)] -> xpath: //input[@id='Email']]
